classification	reason	path
REVIEW	exported-scaffolding	target-xteink-x4/src/vaachak_x4/runtime/boot_runtime_acceptance_gate.rs
DO-NOT-TOUCH	behavior-surface-keywords	target-xteink-x4/src/vaachak_x4/runtime/state_io_active_reader_save_callsite_wiring.rs
DO-NOT-TOUCH	behavior-surface-keywords	target-xteink-x4/src/vaachak_x4/runtime/state_io_backend_binding.rs
DO-NOT-TOUCH	behavior-surface-keywords	target-xteink-x4/src/vaachak_x4/runtime/state_io_backend_commit_plan.rs
DO-NOT-TOUCH	behavior-surface-keywords	target-xteink-x4/src/vaachak_x4/runtime/state_io_backend_dry_run.rs
DO-NOT-TOUCH	behavior-surface-keywords	target-xteink-x4/src/vaachak_x4/runtime/state_io_backend_handoff_checklist.rs
DO-NOT-TOUCH	behavior-surface-keywords	target-xteink-x4/src/vaachak_x4/runtime/state_io_backend_readiness_gate.rs
PRUNE-CANDIDATE	marker-report-scaffolding	target-xteink-x4/src/vaachak_x4/runtime/state_io_commit_plan_acceptance.rs
DO-NOT-TOUCH	behavior-surface-keywords	target-xteink-x4/src/vaachak_x4/runtime/state_io_device_regression_write_lane_closeout.rs
PRUNE-CANDIDATE	marker-report-scaffolding	target-xteink-x4/src/vaachak_x4/runtime/state_io_device_regression_write_lane_closeout_acceptance.rs
REVIEW	exported-runtime-module	target-xteink-x4/src/vaachak_x4/runtime/state_io_disable_txt_body_title_scanning_repair.rs
PRUNE-CANDIDATE	acceptance-marker-scaffolding	target-xteink-x4/src/vaachak_x4/runtime/state_io_disable_txt_body_title_scanning_repair_acceptance.rs
REVIEW	exported-scaffolding	target-xteink-x4/src/vaachak_x4/runtime/state_io_dry_run_acceptance.rs
DO-NOT-TOUCH	behavior-surface-keywords	target-xteink-x4/src/vaachak_x4/runtime/state_io_first_real_read_only_typed_backend_binding.rs
DO-NOT-TOUCH	behavior-surface-keywords	target-xteink-x4/src/vaachak_x4/runtime/state_io_first_real_read_only_typed_backend_binding_acceptance.rs
PRUNE-CANDIDATE	plan-only-marker-module	target-xteink-x4/src/vaachak_x4/runtime/state_io_footer_button_label_baseline_fix_plan.rs
PRUNE-CANDIDATE	marker-report-scaffolding	target-xteink-x4/src/vaachak_x4/runtime/state_io_footer_button_label_baseline_fix_plan_acceptance.rs
DO-NOT-TOUCH	behavior-surface-keywords	target-xteink-x4/src/vaachak_x4/runtime/state_io_footer_button_label_rendering_patch.rs
DO-NOT-TOUCH	behavior-surface-keywords	target-xteink-x4/src/vaachak_x4/runtime/state_io_footer_button_label_rendering_patch_acceptance.rs
REVIEW	exported-runtime-module	target-xteink-x4/src/vaachak_x4/runtime/state_io_guarded_review_delete_later_removal_patch.rs
PRUNE-CANDIDATE	marker-report-scaffolding	target-xteink-x4/src/vaachak_x4/runtime/state_io_guarded_review_delete_later_removal_patch_acceptance.rs
REVIEW	exported-runtime-module	target-xteink-x4/src/vaachak_x4/runtime/state_io_home_library_title_patch.rs
PRUNE-CANDIDATE	marker-report-scaffolding	target-xteink-x4/src/vaachak_x4/runtime/state_io_home_library_title_patch_acceptance.rs
REVIEW	exported-runtime-module	target-xteink-x4/src/vaachak_x4/runtime/state_io_home_library_title_repair.rs
PRUNE-CANDIDATE	acceptance-marker-scaffolding	target-xteink-x4/src/vaachak_x4/runtime/state_io_home_library_title_repair_acceptance.rs
DO-NOT-TOUCH	behavior-surface-keywords	target-xteink-x4/src/vaachak_x4/runtime/state_io_host_title_map_txt_display_names.rs
PRUNE-CANDIDATE	acceptance-marker-scaffolding	target-xteink-x4/src/vaachak_x4/runtime/state_io_host_title_map_txt_display_names_acceptance.rs
REVIEW	exported-runtime-module	target-xteink-x4/src/vaachak_x4/runtime/state_io_library_title_layout_polish_patch.rs
PRUNE-CANDIDATE	marker-report-scaffolding	target-xteink-x4/src/vaachak_x4/runtime/state_io_library_title_layout_polish_patch_acceptance.rs
DO-NOT-TOUCH	behavior-surface-keywords	target-xteink-x4/src/vaachak_x4/runtime/state_io_null_backend.rs
DO-NOT-TOUCH	behavior-surface-keywords	target-xteink-x4/src/vaachak_x4/runtime/state_io_null_backend_acceptance.rs
REVIEW	exported-scaffolding	target-xteink-x4/src/vaachak_x4/runtime/state_io_post_cleanup_runtime_surface_acceptance.rs
PRUNE-CANDIDATE	marker-report-scaffolding	target-xteink-x4/src/vaachak_x4/runtime/state_io_post_cleanup_runtime_surface_acceptance_report.rs
REVIEW	exported-scaffolding	target-xteink-x4/src/vaachak_x4/runtime/state_io_post_freeze_scaffolding_cleanup_plan.rs
PRUNE-CANDIDATE	marker-report-scaffolding	target-xteink-x4/src/vaachak_x4/runtime/state_io_post_freeze_scaffolding_cleanup_plan_acceptance.rs
DO-NOT-TOUCH	behavior-surface-keywords	target-xteink-x4/src/vaachak_x4/runtime/state_io_read_only_backend_binding.rs
DO-NOT-TOUCH	behavior-surface-keywords	target-xteink-x4/src/vaachak_x4/runtime/state_io_read_only_backend_binding_acceptance.rs
DO-NOT-TOUCH	behavior-surface-keywords	target-xteink-x4/src/vaachak_x4/runtime/state_io_read_only_backend_probe.rs
REVIEW	exported-runtime-module	target-xteink-x4/src/vaachak_x4/runtime/state_io_read_only_outcomes_consolidation.rs
REVIEW	exported-scaffolding	target-xteink-x4/src/vaachak_x4/runtime/state_io_read_only_probe_acceptance.rs
REVIEW	exported-scaffolding	target-xteink-x4/src/vaachak_x4/runtime/state_io_read_probe_acceptance.rs
DO-NOT-TOUCH	behavior-surface-keywords	target-xteink-x4/src/vaachak_x4/runtime/state_io_reader_ux_freeze_pre_refactor_cleanup_plan.rs
PRUNE-CANDIDATE	acceptance-marker-scaffolding	target-xteink-x4/src/vaachak_x4/runtime/state_io_reader_ux_freeze_pre_refactor_cleanup_plan_acceptance.rs
DO-NOT-TOUCH	behavior-surface-keywords	target-xteink-x4/src/vaachak_x4/runtime/state_io_reader_ux_polish_candidate_plan.rs
PRUNE-CANDIDATE	marker-report-scaffolding	target-xteink-x4/src/vaachak_x4/runtime/state_io_reader_ux_polish_candidate_plan_acceptance.rs
DO-NOT-TOUCH	behavior-surface-keywords	target-xteink-x4/src/vaachak_x4/runtime/state_io_reader_ux_regression_baseline.rs
PRUNE-CANDIDATE	marker-report-scaffolding	target-xteink-x4/src/vaachak_x4/runtime/state_io_reader_ux_regression_baseline_acceptance.rs
DO-NOT-TOUCH	behavior-surface-keywords	target-xteink-x4/src/vaachak_x4/runtime/state_io_real_backend_adapter_acceptance.rs
DO-NOT-TOUCH	behavior-surface-keywords	target-xteink-x4/src/vaachak_x4/runtime/state_io_real_backend_adapter_contract.rs
DO-NOT-TOUCH	behavior-surface-keywords	target-xteink-x4/src/vaachak_x4/runtime/state_io_real_backend_entry_contract.rs
DO-NOT-TOUCH	behavior-surface-keywords	target-xteink-x4/src/vaachak_x4/runtime/state_io_real_backend_read_probe.rs
DO-NOT-TOUCH	behavior-surface-keywords	target-xteink-x4/src/vaachak_x4/runtime/state_io_real_backend_scaffold.rs
REVIEW	exported-runtime-module	target-xteink-x4/src/vaachak_x4/runtime/state_io_review_delete_later_removal_dry_run.rs
PRUNE-CANDIDATE	marker-report-scaffolding	target-xteink-x4/src/vaachak_x4/runtime/state_io_review_delete_later_removal_dry_run_acceptance.rs
REVIEW	exported-runtime-module	target-xteink-x4/src/vaachak_x4/runtime/state_io_runtime_boundary.rs
REVIEW	exported-runtime-module	target-xteink-x4/src/vaachak_x4/runtime/state_io_runtime_state_write_verification.rs
PRUNE-CANDIDATE	marker-report-scaffolding	target-xteink-x4/src/vaachak_x4/runtime/state_io_runtime_state_write_verification_acceptance.rs
REVIEW	exported-runtime-module	target-xteink-x4/src/vaachak_x4/runtime/state_io_safe_scaffolding_archive_patch.rs
PRUNE-CANDIDATE	marker-report-scaffolding	target-xteink-x4/src/vaachak_x4/runtime/state_io_safe_scaffolding_archive_patch_acceptance.rs
REVIEW	exported-runtime-module	target-xteink-x4/src/vaachak_x4/runtime/state_io_seed_txt_titlemap_into_titles_bin_repair.rs
PRUNE-CANDIDATE	acceptance-marker-scaffolding	target-xteink-x4/src/vaachak_x4/runtime/state_io_seed_txt_titlemap_into_titles_bin_repair_acceptance.rs
REVIEW	exported-runtime-module	target-xteink-x4/src/vaachak_x4/runtime/state_io_text_title_cache_safety_repair.rs
PRUNE-CANDIDATE	acceptance-marker-scaffolding	target-xteink-x4/src/vaachak_x4/runtime/state_io_text_title_cache_safety_repair_acceptance.rs
REVIEW	exported-scaffolding	target-xteink-x4/src/vaachak_x4/runtime/state_io_title_cache_workflow_freeze.rs
PRUNE-CANDIDATE	acceptance-marker-scaffolding	target-xteink-x4/src/vaachak_x4/runtime/state_io_title_cache_workflow_freeze_acceptance.rs
DO-NOT-TOUCH	behavior-surface-keywords	target-xteink-x4/src/vaachak_x4/runtime/state_io_typed_read_only_backend_adapter_acceptance.rs
REVIEW	exported-runtime-module	target-xteink-x4/src/vaachak_x4/runtime/state_io_typed_read_only_result_normalizer.rs
DO-NOT-TOUCH	behavior-surface-keywords	target-xteink-x4/src/vaachak_x4/runtime/state_io_write_lane_cleanup_acceptance_freeze.rs
PRUNE-CANDIDATE	marker-report-scaffolding	target-xteink-x4/src/vaachak_x4/runtime/state_io_write_lane_cleanup_acceptance_freeze_report.rs
